subjectName,school,major,subjectCode,unit,category,target_year,elecCompul,quarter
環境総合プロジェクトB,DES,END,4412J,2,専攻教育科目　Specialized Education,学部4年　Undergraduate fourth grade,1,夏学期
環境テクノロジー実習,DES,END,3821W,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,前期
環境と持続可能性,DES,DFT,3221W,1,コース基礎科目　Course Fundamental Subjects,学部2年　Undergraduate second grade,3,秋学期
環境人間工学（2019年度以前入学者対象）,DES,IND,3122J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,前期
環境文化財論,DES,END,3363J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,後期
環境倫理学,DES,END,3172J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,後期
感性科学（2019年度以前入学者対象）,DES,IND,3121Ｊ,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,前期集中
機械学習,DES,VCD,3061J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,後期
機械学習,DES,AID,3612J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,後期
機能工学基礎,DES,IND,3524J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,後期
基礎造形Ⅰ,DES,END,2021J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,3,春学期
基礎造形Ⅰ,DES,IND,2021J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,3,春学期
基礎造形Ⅰ,DES,DFT,2021J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,3,春学期
基礎造形Ⅰ,DES,MED,2021J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,3,春学期
基礎造形Ⅰ,DES,ACD,2021J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,3,春学期
基礎造形Ⅲ,DES,IND,2023J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,秋学期
基礎造形Ⅲ,DES,END,2023J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,秋学期
基礎造形Ⅲ,DES,DFT,2023J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,秋学期
基礎造形Ⅲ,DES,MED,2023J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,秋学期
基礎造形Ⅲ,DES,ACD,2023J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,秋学期
基礎造形Ⅱ,DES,END,2022J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,3,春学期
基礎造形Ⅱ,DES,IND,2022J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,3,春学期
基礎造形Ⅱ,DES,DFT,2022J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,3,春学期
基礎造形Ⅱ,DES,MED,2022J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,3,春学期
基礎造形Ⅱ,DES,ACD,2022J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,3,春学期
基礎造形Ⅳ,DES,END,2024J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,秋学期
基礎造形Ⅳ,DES,IND,2024J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,秋学期
基礎造形Ⅳ,DES,DFT,2024J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,秋学期
基礎造形Ⅳ,DES,MED,2024J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,秋学期
基礎造形Ⅳ,DES,ACD,2024J,1,デザインリテラシー科目　Design Literacy Subjects,学部2年　Undergraduate second grade,1,秋学期
機能工学デザイン演習,DES,IND,3543J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,後期
機能デザイン論,DES,IND,3521J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,前期
共通課題PBL演習A,DES,DFT,1611W,4,コース演習科目 (PBL)　Course Seminar Subjects,学部2年　Undergraduate second grade,1,夏学期
